NO_ENTIDADE,CO_ENTIDADE,NO_BAIRRO,TOTAL_MATRICULAS,TOTAL_COMP_ALUNOS,COMP_POR_100_ALUNOS,INFRA_BASICA,AMBIENTES_EDUC,ACESSIBILIDADE,TECNOLOGIA,INDICE_GERAL_INFRA
JOAO WISLINSKI C E C M PEEF M N,41130200,SANTA CANDIDA,962.0,80.0,8.316008316008316,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.7757936507936508
JOAO MAZZAROTTO C EEF M,41130162,CAPAO RASO,933.0,103.0,11.039657020364416,1.0,0.6666666666666666,0.14285714285714285,0.8333333333333334,0.6607142857142857
UNIVERSIDADE FEDERAL DO PARANA - SEPT,41148851,GUABIROTUBA,336.0,110.0,32.73809523809524,1.0,0.7777777777777778,0.42857142857142855,0.8333333333333334,0.7599206349206349
UBERABA III C M E I,41162579,UBERABA,80.0,22.0,27.500000000000004,1.0,0.3333333333333333,0.14285714285714285,0.8333333333333334,0.5773809523809523
BAIRRO ALTO II C M E I,41165381,BAIRRO ALTO,142.0,20.0,14.084507042253522,1.0,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.6071428571428571
BOQUEIRAO C M E I,41162536,BOQUEIRAO,426.0,30.0,7.042253521126761,1.0,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.5357142857142857
YVONE PIMENTEL C E I,41359593,NOVO MUNDO,318.0,0.0,0.0,1.0,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.5714285714285714
NOVA BARIGUI C M E I,41355733,CIC,196.0,9.0,4.591836734693878,1.0,0.3333333333333333,0.0,0.6666666666666666,0.5
EURIDES BRANDAO C EEF M PROFIS,41377591,CIC,2517.0,134.0,5.323798172427493,1.0,0.7777777777777778,0.7142857142857143,0.8333333333333334,0.8313492063492064
CENTRO DE EDUCACAO PROFISSIONAL UNITEC - CARLOS GOMES,41160029,CENTRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRUZEIRO DO SUL C EEF M PROFIS,41128664,SANTA CANDIDA,1035.0,65.0,6.280193236714976,1.0,0.6666666666666666,0.14285714285714285,0.8333333333333334,0.6607142857142857
VILA LORENA C M E I,41355458,UBERABA,290.0,27.0,9.310344827586208,1.0,0.3333333333333333,0.14285714285714285,0.8333333333333334,0.5773809523809523
ESPACO INFANTIL CENTRO DE EDUCACAO INFANTIL,41546890,AGUA VERDE,112.0,2.0,1.7857142857142856,1.0,0.7777777777777778,0.2857142857142857,0.6666666666666666,0.6825396825396824
IVO ZANLORENZI E E MONSEF,41129989,CAMPO COMPRIDO,1042.0,51.0,4.894433781190019,1.0,0.7777777777777778,0.14285714285714285,0.6666666666666666,0.6468253968253967
ATTICO EUSEBIO DA ROCHA C E DEF M PROF,41127382,VL LINDOIA,1250.0,30.0,2.4,1.0,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.6904761904761904
CENTRO PARANAENSE DE FORMACAO TECNICA LTDA,41387449,CENTRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAPAJOS C M E I,41355776,HAUER,312.0,14.0,4.487179487179487,1.0,0.3333333333333333,0.0,0.5,0.4583333333333333
SAO MATEUS DO SUL E MEI EF,41133331,PINHEIRINHO,734.0,48.0,6.539509536784741,1.0,0.7777777777777778,0.0,1.0,0.6944444444444444
NOVA CRIANCA C E I,41161815,XAXIM,118.0,4.0,3.389830508474576,1.0,0.3333333333333333,0.2857142857142857,0.5,0.5297619047619048
CEI CECI BABY,41151941,VILA IZABEL,88.0,0.0,0.0,1.0,0.5555555555555556,0.2857142857142857,0.5,0.5853174603174603
PEQUENO PRINCIPE C E I,41132360,PORTAO,90.0,1.0,1.1111111111111112,1.0,0.3333333333333333,0.0,0.5,0.4583333333333333
